id, label, timepoint, x, y, z, radius, parent_id,cell fate
5471,5472,0, 304.0, 449.0, 60.0, 10.0,-1,
5515,5516,0, 465.0, 452.0, 60.0, 10.0,-1,
5530,5531,0, 430.0, 287.0, 65.0, 10.0,-1,
6123,6124,0, 442.0, 291.0, 65.0, 10.0,-1,
6360,6361,0, 495.0, 291.0, 65.0, 10.0,-1,
6703,6704,0, 522.0, 294.0, 65.0, 10.0,-1,
7149,7150,0, 354.0, 295.0, 65.0, 10.0,-1,
7256,7257,0, 477.0, 295.0, 65.0, 10.0,-1,
7334,7335,0, 370.0, 298.0, 65.0, 10.0,-1,
7634,7635,0, 400.0, 304.0, 65.0, 10.0,-1,
7690,7691,0, 348.0, 308.0, 65.0, 10.0,-1,
7763,7764,0, 433.0, 308.0, 65.0, 10.0,-1,
7808,7809,0, 512.0, 312.0, 65.0, 10.0,-1,
7968,7969,0, 372.0, 317.0, 65.0, 10.0,-1,
8008,8009,0, 322.0, 318.0, 65.0, 10.0,-1,
8101,8102,0, 528.0, 318.0, 65.0, 10.0,-1,
8352,8353,0, 340.0, 319.0, 65.0, 10.0,-1,
8400,8401,0, 286.0, 323.0, 65.0, 10.0,-1,
8683,8684,0, 306.0, 325.0, 65.0, 10.0,-1,
8773,8774,0, 510.0, 329.0, 65.0, 10.0,-1,
8817,8818,0, 544.0, 330.0, 65.0, 10.0,-1,
8834,8835,0, 215.0, 334.0, 65.0, 10.0,-1,
8872,8873,0, 526.0, 337.0, 65.0, 10.0,-1,
9053,9054,0, 274.0, 340.0, 65.0, 10.0,-1,
9058,9059,0, 196.0, 350.0, 65.0, 10.0,-1,
9078,9079,0, 623.0, 355.0, 65.0, 10.0,-1,
9150,9151,0, 274.0, 360.0, 65.0, 10.0,-1,
9178,9179,0, 296.0, 362.0, 65.0, 10.0,-1,
9288,9289,0, 507.0, 363.0, 65.0, 10.0,-1,
9373,9374,0, 315.0, 369.0, 65.0, 10.0,-1,
9516,9517,0, 292.0, 379.0, 65.0, 10.0,-1,
9614,9615,0, 388.0, 379.0, 65.0, 10.0,-1,
9688,9689,0, 511.0, 379.0, 65.0, 10.0,-1,
9759,9760,0, 271.0, 381.0, 65.0, 10.0,-1,
9895,9896,0, 314.0, 384.0, 65.0, 10.0,-1,
10007,10008,0, 493.0, 387.0, 65.0, 10.0,-1,
10075,10076,0, 598.0, 389.0, 65.0, 10.0,-1,
10103,10104,0, 211.0, 391.0, 65.0, 10.0,-1,
